1937,35.96,30.97,77,5.5
1937,34.7,32.7,30,5.3
1938,36.65,39.65,30,5.3
1939,36.3,30.7,33,5.5
1940,32.8,35.2,5,4.8
1940,35.7,30.5,40,5.5
1940,35.9,31.4,80,5.9
1940,32.0,35.5,5,4.8
1940,34.6307,36.6052,10,4.2
1941,35.0,34.0,100,6.3
1941,37.35,35.74,100,4.9
1943,32.6,35.4,5,5.1
1944,32.7008,35.5005,10,4.4
1945,32.754,35.4975,10,4.2
1945,37.4,35.8,15,6.0
1947,33.0,35.5,5,4.8
1947,36.46,34.66,15,5.7
1947,36.6,35.5,33,5.8
1948,36.0,31.0,45,5.8
1950,36.5,35.8,30,4.7
1950,33.0065,35.4983,10,4.2
1951,37.5,36.3,5,4.7
1951,32.263,33.3733,80,6.2
1951,36.83,30.54,120,5.7
1951,36.6,36.1,15,5.8
1951,34.3294,36.046,10,4.9
1951,36.04,31.14,15,5.4
1952,27.2008,34.5121,33,5.3
1952,36.5,35.3,15,6.0
1952,37.25,35.65,70,5.7
1953,33.5,32.0,30,5.3
1953,37.0,37.0,15,5.4
1953,35.0,32.5,15,6.5
1953,33.7015,36.0992,10,4.2
1954,37.29,29.96,40,5.2
1954,30.9,35.3,15,5.5
1954,32.4,31.4,30,4.9
1955,25.119,34.506,15,5.7
1956,33.6,35.6,16,6.0
1956,35.6998,35.9938,10,4.8
1956,30.5,35.483,10,5.4
1956,31.4644,35.5,15,6.0
1957,34.8019,36.8966,10,4.3
1957,32.5,35.9,30,5.6
1958,36.22,31.44,70,4.8
1958,36.58,30.46,80,4.9
1958,37.0,31.35,40,4.9
1959,33.4125,35.3921,10,4.2
1959,34.78,32.51,60,5.8
1959,35.74,30.08,100,5.3
1960,36.11,31.09,80,4.9
1961,37.02,36.11,100,5.0
1961,34.98,33.84,15,6.1
1962,35.73,30.34,100,4.7
1962,36.97,32.52,140,5.0
1963,34.77,32.29,49,5.3
1963,37.5,30.0,20,5.1
1964,36.9,37.9,57,4.8
1964,34.77,32.35,63,5.0
1964,35.459,35.2754,10,4.1
1964,34.5,34.5,15,4.9
1964,36.1,30.8,61,4.9
1964,36.93,30.6,133,4.3
1964,37.5,40.0,15,4.8
1964,33.2042,35.7027,10,4.6
1964,34.2,32.7,67,5.0
1964,36.81,35.33,4,4.8
1964,34.9451,35.0561,10,4.3
1964,36.4,34.2,128,5.0
1965,34.9,32.5,52,4.9
1965,36.82,30.94,111,5.2
1965,35.95,35.77,40,4.4
1965,33.3044,35.2953,10,4.5
1965,34.03,33.7,33,4.9
1965,37.24,36.22,50,4.8
1966,37.7,30.0,20,4.9
1966,36.27,31.97,109,4.5
1966,35.81,30.99,50,4.7
1966,37.05,30.98,132,5.1
1966,35.6392,35.2424,10,4.2
1966,36.84,35.92,58,4.8
1966,37.77,29.97,44,5.1
1966,32.9935,32.0,33,4.7
1966,36.1,30.7,74,4.7
1967,37.36,36.24,33,5.2
1967,34.5,32.84,41,4.9
1967,34.09,32.43,52,5.0
1967,36.2,31.3,69,4.6
1967,34.4,34.2,155,4.5
1967,37.59,30.44,49,4.8
1968,36.6,32.0,15,4.9
1968,36.25,31.54,78,4.3
1968,36.99,30.55,97,4.3
